Owner,total_capacity,number_of_plants,number_of_countries
Shanxi HONGDA Iron and Steel Group Co Ltd,2300.0,1,1
Hebei Rongxin Iron & Steel Co Ltd,2300.0,2,1
Evraz North America PLC,2300.0,2,2
Qinhuangdao Baigong Steel Co Ltd,2260.0,1,1
Hebei New Wuan Lron and Steel Group Hong Rong Lron and Steel Co Ltd,2250.0,2,1
Jiangsu Province Binxin Steel Group Co Ltd,2250.0,1,1
JFE Bars & Shapes Corp,2220.0,3,1
Changshu Longteng Special Steel Co Ltd,2213.0,1,1
BMM Ispat Ltd,2208.0,1,1
Algerian Qatari Steel,2200.0,1,1
Yenakiieve Metallurgical Plant Branch PJSC,2200.0,1,1
Ferriere Nord SpA,2200.0,1,1
Aperam Stainless Belgium NV,2200.0,2,1
Xiangfen County XinJinShan Special Steel Co Ltd,2200.0,1,1
HBIS Group Serbia Iron & Steel Beograd doo,2199.0,1,1
Groupe Industriel Sider SpA,2150.0,1,1
SeAH Besteel Holdings Corp,2101.0,1,1
Suez Steel Company SAE,2100.0,1,1
Guangdong Yuebei United Steel Co Ltd,2055.0,1,1
Uralskaya Stal JSC,2050.0,1,1
Heilongjiang Jianlong Iron and Steel Co Ltd,2001.0,1,1
Xinjiang KingTec Steel Co Ltd,2001.0,2,1
Hubei Lijin Steel Group Co Ltd,2000.0,1,1
Luzhou Xinyang Vanadium Titanium Steel Co Ltd,2000.0,1,1
Jiangsu Changqiang Iron & Steel Co Ltd,2000.0,1,1
BERIS Jiangsu Heavy Industry Co Ltd,2000.0,1,1
Fuzhou Wuhang Steel Products Co Ltd,2000.0,1,1
Guangdong Jingye Iron and Steel Co Ltd,2000.0,1,1
Guangdong Guangqing METAL Technology Co Ltd,2000.0,1,1
Amsteel Mills Sdn Bhd,2000.0,2,1
Fujian Wuhang Stainless Steel Products Co Ltd,2000.0,1,1
Alfa Acciai SpA,2000.0,1,1
Wuhu Xinxing Ductile Iron Pipes Co Ltd,2000.0,1,1
Shijiazhuang Iron and Steel Co Ltd,2000.0,1,1
Anyang Xinpu Steel Co Ltd,2000.0,1,1
Tangshan Wenfeng Special Steel Co Ltd,2000.0,1,1
Arcelormittal Sestao SL,2000.0,1,1
Wuhu Fuxin Iron & Steel Co Ltd,2000.0,1,1
Acindar Industria Argentina de Aceros SA,2000.0,1,1
Inner Mongolia Yaxinlongshun Special Steel Co Ltd,2000.0,2,1
Hubei Shunle Iron and Steel Co Ltd,2000.0,1,1
Henan YAXIN Steel Industry Co Ltd,2000.0,2,1
Houying Group Haicheng Iron and Steel Co Ltd,2000.0,2,1
Wuhan Shunle Stainless Steel Co Ltd,2000.0,1,1
Wuhai Baogang Wanteng Iron and Steel Co Ltd,2000.0,1,1
Xinxing Ductile Iron Pipes Xinjiang Co Ltd,2000.0,1,1
Guizhou United Steel (Group) Co Ltd,1990.0,1,1
Sev.en Global Investments AS,1970.0,2,2
Aceros Especiales Simec Tlaxcala SA de CV,1956.0,2,1
Pavgord doo,1940.0,1,1
Shaanxi Lueyang Iron and Steel Co Ltd,1900.0,2,1
Angang Lianzhong Stainless Steel Corp,1900.0,1,1
Lucheng Xingbao Iron & Steel Co Ltd,1900.0,1,1
Wuzhou Yongda Steel Works Co Ltd,1851.0,1,1
Hebei Huaxi Special Steel Co Ltd,1824.0,1,1
Ningxia Iron and Steel (Group) Co Ltd,1800.0,1,1
BES Brandenburger Elektrostahlwerke GmbH,1800.0,1,1
G Steel PCL,1800.0,1,1
Anshan Baode Iron & Steel Co Ltd,1800.0,1,1
Hbzx HIGH Tech Co Ltd,1800.0,1,1
Henan Angang Zhoukou Iron and Steel Co Ltd,1750.0,1,1
Acciaierie Venete SpA,1740.0,3,1
Fujian Dingsheng Steel Co Ltd,1726.0,1,1
Guangxi Longzhou Zhongheng Wanhua Industrial Co Ltd,1725.0,2,1
Siderca SAIC,1720.0,1,1
Feng Hsin Steel Co Ltd,1701.0,1,1
Godo Steel Ltd,1700.0,3,1
Licheng Taihang Iron & Steel Co Ltd,1700.0,1,1
Shanxi Meijin Iron and Steel Co Ltd,1700.0,2,1
CMC Poland SP zoo,1700.0,1,1
Outokumpu Stainless AB,1700.0,2,2
Shanxi Zhongsheng Iron and Steel Co Ltd,1700.0,2,1
Fujian San'an Iron & Steel Co Ltd,1700.0,2,1
